"fullid"	"entid"	"bookid"	"PM5002Q01"	"PM5002Q02"	"PM5008Q01"	"PM5010Q01"	"PM5010Q02"	"PM5013Q01"	"PM5013Q03"	"PM5015Q02"	"PM5017Q02"	"PM5017Q03"	"PM5020Q02"	"PM5021Q01"	"PM5021Q02"	"PM5026Q01"	"PM5101Q01"	"PM5101Q02"	"PM5102Q01"	"PM5104Q01"	"PM5107Q01"	"PM5107Q02"	"PM5109Q01"	"PM5109Q02"	"PM5110Q01"	"PM5110Q02"	"PM5124Q01"	"PM5124Q02"	"PM5124Q03"	"PM5142Q01"	"PM5142Q02"	"PM5145Q01"	"PM5163Q01"	"PM5169Q01"	"PM5169Q02"	"PM5181Q02"	"PM5183Q01"	"PM5183Q02"	"PM5185Q01"	"PM5185Q02"	"PM5187Q01"	"PM5188Q01"	"PR6002Q01"	"PR6002Q02"	"PR6002Q04"	"PR6002Q05"	"PR6004Q01"	"PR6004Q05"	"PR6004Q06"	"PR6008Q02"	"PR6008Q04"	"PR6008Q05"	"PR6010Q01"	"PR6010Q03"	"PR6010Q06"	"PR6010Q07"	"PR6011Q03"	"PR6011Q05"	"PR6011Q07"	"PR6013Q03"	"PR6013Q04"	"PR6013Q06"	"PR6013Q08"	"PR6014Q03"	"PR6014Q06"	"PR6014Q07"	"PR6015Q01"	"PR6015Q03"	"PR6015Q04"	"PR6015Q06"	"PR6017Q04"	"PR6017Q05"	"PR6017Q08"	"PR6017Q10"	"PR6017Q11"	"PR6018Q01"	"PR6018Q03"	"PR6018Q08"	"PR6018Q09"	"PR6023Q01"	"PR6023Q06"	"PR6023Q07"	"PR6023Q08"	"PR6026Q02"	"PR6026Q05"	"PR6027Q01"	"PR6027Q04"	"PR6027Q10"	"PS7000Q01"	"PS7000Q02"	"PS7002Q03"	"PS7002Q04"	"PS7012Q01"	"PS7012Q03"	"PS7012Q04"	"PS7013Q01"	"PS7013Q02"	"PS7014Q01"	"PS7014Q03"	"PS7017Q01"	"PS7017Q04"	"PS7018Q03"	"PS7018Q04"	"PS7020Q03"	"PS7020Q04"	"PS7021Q02"	"PS7021Q04"	"PS7201Q01"	"PS7201Q02"	"PS7201Q03"	"PS7205Q02"	"PS7208Q01"	"PS7208Q02"	"PS7211Q01"	"PS7211Q02"	"PS7212Q01"	"PS7212Q02"	"PS7212Q04"	"PS7215Q02"	"PS7215Q03"	"PS7216Q01"	"PS7216Q03"	"PS7217Q01"	"PS7217Q02"	"PS7220Q01"	"PS7220Q02"	"PS7220Q03"	"PS7221Q01"	"PS7221Q02"	"PS7221Q03"	"PS7221Q04"	"PS7222Q01"	"PS7222Q02"	"PS7222Q03"	"PS7224Q02"	"PS7228Q02"	"PS7228Q03"	"PS7228Q04"	"PS7230Q02"	"PS7230Q03"	"PS7231Q01"	"PS7231Q04"	"gender"
"0209"	"23025905"	"7"	0	0	NA	1	1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	1	0	0	1	1	0	1	0	1	1	1	2	1	NA	NA	NA	NA	1	1	1	1	1	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAS"
"0210"	"23025905"	"1"	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	NA	NA	NA	1	0	NA	0	0	0	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	NA	0	0	0	1	0	0	0	1	0	1	0	0	0	NA	NA	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	"MAS"
"0211"	"23025905"	"2"	0	1	NA	1	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA	NA	0	0	0	NA	NA	0	NA	NA	NA	0	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	NA	1	0	NA	NA	NA	NA	NA	1	1	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	"FEM"
"0212"	"23025905"	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	1	1	0	1	0	0	0	0	0	0	1	NA	NA	1	0	"MAS"
"0213"	"23025905"	"4"	NA	NA	0	NA	NA	0	0	0	0	0	NA	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	NA	1	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAS"
"0214"	"23025905"	"5"	NA	NA	1	NA	NA	NA	NA	0	0	2	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	0	NA	NA	NA	1	0	NA	0	1	0	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	1	0	0	0	0	1	0	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0	1	NA	NA	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	"FEM"
"0215"	"23025905"	"6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	NA	NA	NA	1	1	1	1	1	1	0	0	0	1	NA	NA	NA	NA	0	0	1	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0	1	NA	NA	1	1	1	1	0	1	1	0	0	1	0	0	0	1	NA	NA	1	2	NA	NA	0	NA	0	1	0	NA	1	0	1	1	NA	NA	NA	NA	NA	1	0	1	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	"MAS"
"0216"	"23025905"	"7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	1	0	1	0	0	0	1	NA	NA	1	0	"MAS"
"0217"	"23025905"	"1"	0	1	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	0	NA	NA	NA	1	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	NA	NA	0	1	0	1	0	0	1	1	0	0	0	0	0	0	NA	NA	0	0	NA	NA	0	0	0	0	0	NA	0	0	1	1	NA	NA	NA	NA	NA	0	0	1	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	"MAS"
"0218"	"23025905"	"2"	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	1	0	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	0	0	1	0	0	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	NA	NA	1	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	"MAS"
"0219"	"23025905"	"3"	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	0	0	0	0	0	NA	0	0	0	NA	NA	NA	NA	0	0	0	NA	NA	0	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	1	0	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1	1	0	1	0	2	1	NA	NA	0	0	NA	NA	NA	NA	0	0	0	NA	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	"MAS"
"0220"	"23025905"	"4"	0	1	0	0	0	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	NA	NA	NA	0	1	NA	0	0	0	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAS"
"0221"	"23025905"	"5"	0	0	NA	1	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	1	0	0	NA	NA	NA	NA	0	0	0	NA	NA	0	NA	NA	NA	0	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	0	0	0	0	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	1	0	1	1	0	1	0	0	0	0	0	NA	NA	0	0	"MAS"
"0222"	"23025905"	"6"	NA	NA	1	NA	NA	1	0	0	0	0	NA	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	NA	0	0	0	0	NA	NA	NA	0	1	0	0	0	1	1	0	0	1	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FEM"
"0223"	"23025905"	"7"	NA	NA	0	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1	0	0	0	NA	NA	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	0	1	0	0	0	NA	NA	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	NA	NA	1	1	"MAS"
"0224"	"23025905"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	NA	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	1	0	1	0	0	0	0	NA	NA	1	0	"FEM"
"0225"	"23025905"	"2"	0	0	0	0	0	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	1	NA	NA	NA	0	0	NA	0	0	0	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	NA	NA	NA	0	0	0	1	1	2	0	0	0	1	1	2	1	NA	NA	NA	NA	0	1	0	1	1	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAS"
"0226"	"23025905"	"3"	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	NA	NA	NA	0	0	0	0	1	0	1	0	0	1	NA	NA	NA	NA	1	1	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	NA	NA	1	1	0	0	0	0	1	0	0	1	0	0	0	1	NA	NA	0	0	NA	NA	0	0	0	1	0	NA	1	0	1	0	NA	NA	NA	NA	NA	0	0	0	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	"FEM"
"0227"	"23025905"	"4"	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	1	0	0	0	0	NA	1	0	0	NA	NA	NA	NA	0	0	0	NA	NA	0	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	0	0	0	1	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	2	1	NA	NA	0	1	NA	NA	NA	NA	0	1	0	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	"MAS"
"0228"	"23025905"	"5"	0	0	0	0	0	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	NA	NA	0	0	1	0	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	0	0	0	1	0	1	1	1	0	0	0	0	0	NA	NA	NA	NA	0	0	1	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FEM"
"0229"	"23025905"	"6"	0	1	NA	1	0	1	0	NA	NA	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA	NA	1	0	0	NA	NA	0	NA	NA	NA	0	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	1	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	"FEM"
"0230"	"23025905"	"7"	1	1	NA	1	0	1	1	NA	NA	NA	0	1	1	0	0	0	NA	1	0	0	NA	NA	NA	NA	1	0	1	NA	NA	0	NA	NA	NA	0	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	1	0	0	0	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	1	2	NA	NA	NA	NA	NA	1	1	1	1	1	0	0	0	0	0	0	NA	NA	1	0	"MAS"
"0231"	"23025905"	"1"	NA	NA	0	NA	NA	1	0	0	0	1	NA	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	1	1	NA	0	0	0	1	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAS"
"0232"	"23025905"	"2"	NA	NA	0	NA	NA	NA	NA	0	1	2	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	NA	NA	NA	1	1	NA	0	0	0	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	NA	NA	0	1	0	0	1	0	0	0	0	0	0	0	0	NA	NA	0	2	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	"FEM"
"0233"	"23025905"	"3"	NA	NA	1	NA	NA	0	0	0	0	2	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	NA	1	0	1	0	NA	NA	NA	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAS"
"0235"	"23025905"	"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	1	1	0	1	0	0	0	0	0	0	0	NA	NA	1	0	"MAS"
"0236"	"23025905"	"6"	NA	NA	0	NA	NA	NA	NA	1	0	2	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	2	1	0	NA	NA	NA	1	1	NA	1	1	1	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0	1	0	NA	NA	0	0	0	1	0	0	0	0	1	1	0	0	0	NA	NA	0	0	1	1	1	1	2	1	1	0	1	1	0	1	1	0	0	0	1	0	"MAS"
"0237"	"23025905"	"7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	1	0	0	1	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	1	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	1	0	0	0	0	0	0	NA	NA	0	0	"MAS"
"0238"	"23025905"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	NA	NA	NA	0	1	0	0	1	1	0	0	0	1	0	NA	NA	NA	1	1	1	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	1	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	1	0	1	0	0	0	0	NA	NA	1	0	"FEM"
"0239"	"23025905"	"2"	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	1	1	NA	NA	NA	1	1	0	0	1	1	1	1	0	1	NA	NA	NA	NA	1	1	1	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	NA	NA	1	1	1	1	0	0	1	0	1	1	1	0	2	1	NA	NA	0	0	NA	NA	0	0	1	1	0	NA	1	1	1	0	NA	NA	NA	NA	NA	1	0	1	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	"FEM"
"0240"	"23025905"	"3"	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	0	0	0	0	0	NA	0	0	0	NA	NA	NA	NA	0	0	0	NA	NA	0	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	1	1	0	0	0	0	1	1	1	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	0	NA	NA	1	0	NA	NA	NA	NA	0	0	0	NA	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	"FEM"
"0241"	"23025905"	"4"	0	0	0	1	0	NA	NA	0	0	1	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	NA	NA	NA	1	0	NA	0	0	0	NA	NA	NA	0	0	1	1	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	1	0	1	1	1	1	1	1	1	1	0	0	0	NA	NA	NA	NA	0	0	1	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FEM"
